AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_35_45,22,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,22,78158,0,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,22,78057,1,0,0,0,0,2,0,Achterhoek,16
AGE_85_100,22,28214,0,0,1,0,0,2,0,Achterhoek,16
AGE_0_18,23,77615,1,0,0,0,0,2,0,Achterhoek,16
AGE_18_35,23,94412,1,0,0,0,0,4,0,Achterhoek,16
AGE_35_45,23,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,23,78158,0,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,23,78056,2,0,0,0,0,2,0,Achterhoek,16
AGE_85_100,23,28214,0,0,0,0,1,2,0,Achterhoek,16
AGE_0_18,24,77615,0,0,0,0,0,3,0,Achterhoek,16
AGE_18_35,24,94412,0,1,0,0,0,4,0,Achterhoek,16
AGE_35_45,24,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,24,78158,0,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,24,78055,2,0,0,0,0,3,0,Achterhoek,16
AGE_85_100,24,28214,0,0,0,0,1,2,0,Achterhoek,16
AGE_0_18,25,77614,1,0,0,0,0,3,0,Achterhoek,16
AGE_18_35,25,94412,0,0,1,0,0,4,0,Achterhoek,16
AGE_35_45,25,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,25,78157,1,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,25,78055,2,0,0,0,0,3,0,Achterhoek,16
AGE_85_100,25,28213,1,0,0,0,1,2,0,Achterhoek,16
AGE_0_18,26,77612,3,0,0,0,0,3,0,Achterhoek,16
AGE_18_35,26,94412,0,0,1,0,0,4,0,Achterhoek,16
AGE_35_45,26,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,26,78156,2,0,0,0,0,4,0,Achterhoek,16
AGE_65_85,26,78055,1,0,0,0,0,4,0,Achterhoek,16
AGE_85_100,26,28212,1,0,0,0,0,3,1,Achterhoek,16
AGE_0_18,27,77612,3,0,0,0,0,3,0,Achterhoek,16
AGE_18_35,27,94411,1,0,0,0,0,5,0,Achterhoek,16
AGE_35_45,27,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,27,78155,1,0,0,0,0,6,0,Achterhoek,16
AGE_65_85,27,78055,1,0,0,0,0,4,0,Achterhoek,16
AGE_85_100,27,28212,1,0,0,0,0,3,1,Achterhoek,16
AGE_0_18,28,77612,3,0,0,0,0,3,0,Achterhoek,16
